date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:41	12259/12259	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:36%20GMT	https://togel-online.club/dreambook	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/dreambook.html	(from https://togel-online.club/)
22:44:41	18253/18253	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:36%20GMT	https://togel-online.club/guide	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/guide.html	(from https://togel-online.club/)
22:44:41	13150/13150	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:36%20GMT	https://togel-online.club/howtoplay	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/howtoplay.html	(from https://togel-online.club/)
22:44:41	38979/38979	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:37%20GMT	https://togel-online.club/togellist	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/togellist.html	(from https://togel-online.club/)
22:44:42	22010/22010	---M--	200	added ('OK')	image/jpeg	etag:%2255fa-6423745a-3022eb1c;;;%22	https://togel-online.club/assets/front/background/HONGKONG.jpg	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/assets/front/background/HONGKONG.jpg	(from https://togel-online.club/)
22:44:42	55411/55411	---M--	200	added ('OK')	image/gif	etag:%22d873-6423745a-10038a6d;;;%22	https://togel-online.club/assets/front/images/live-now-d.gif	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/assets/front/images/live-now-d.gif	(from https://togel-online.club/)
22:44:42	21275/21275	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:38%20GMT	https://togel-online.club/livedraw/hongkong	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/livedraw/hongkong.html	(from https://togel-online.club/)
22:44:42	58426/58426	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:38%20GMT	https://togel-online.club/statistik/37	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/statistik/37.html	(from https://togel-online.club/)
22:44:43	40671/40671	---M--	200	added ('OK')	image/jpeg	etag:%229edf-6423745a-3022ec78;;;%22	https://togel-online.club/assets/front/background/SINGAPORE4D.jpg	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/assets/front/background/SINGAPORE4D.jpg	(from https://togel-online.club/)
22:44:43	22613/22613	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:44:38%20GMT	https://togel-online.club/livedraw/singapore	C:/Users/Leo/Downloads/newProj/livedraw/livedraw/togel-online.club/livedraw/singapore.html	(from https://togel-online.club/)
